Time,x0(t),x1(t)
0.0,0.10767,0.0094
0.02,0.10774,0.00972
0.04,0.10782,0.01006
0.06,0.10789,0.0104
0.08,0.10797,0.01076
0.1,0.10803,0.01113
0.12,0.1081,0.01151
0.14,0.10815,0.01191
0.16,0.10819,0.01232
0.18,0.10822,0.01274
0.2,0.10825,0.01318
0.22,0.10826,0.01363
0.24,0.10827,0.0141
0.26,0.10826,0.01458
0.28,0.10824,0.01508
0.3,0.10821,0.0156
0.32,0.10817,0.01613
0.34,0.10812,0.01669
0.36,0.10806,0.01726
0.38,0.10798,0.01784
0.4,0.10789,0.01845
0.42,0.10779,0.01908
0.44,0.10768,0.01973
0.46,0.10755,0.0204
0.48,0.1074,0.02109
0.5,0.10725,0.0218
0.52,0.10707,0.02253
0.54,0.10689,0.02329
0.56,0.10668,0.02407
0.58,0.10646,0.02487
0.6,0.10623,0.0257
0.62,0.10597,0.02655
0.64,0.1057,0.02743
0.66,0.10541,0.02834
0.68,0.1051,0.02927
0.7,0.10477,0.03023
0.72,0.10442,0.03121
0.74,0.10406,0.03222
0.76,0.10367,0.03327
0.78,0.10326,0.03434
0.8,0.10283,0.03543
0.82,0.10238,0.03656
0.84,0.10191,0.03772
0.86,0.10142,0.03891
0.88,0.1009,0.04012
0.9,0.10036,0.04137
0.92,0.0998,0.04265
0.94,0.09922,0.04396
0.96,0.09861,0.0453
0.98,0.09797,0.04666
1.0,0.09732,0.04806
1.02,0.09664,0.04949
1.04,0.09593,0.05095
1.06,0.0952,0.05244
1.08,0.09445,0.05396
1.1,0.09368,0.05551
1.12,0.09288,0.05709
1.14,0.09205,0.05869
1.16,0.0912,0.06033
1.18,0.09033,0.06199
1.2,0.08944,0.06367
1.22,0.08852,0.06539
1.24,0.08758,0.06712
1.26,0.08662,0.06888
1.28,0.08564,0.07067
1.3,0.08464,0.07247
1.32,0.08361,0.0743
1.34,0.08257,0.07614
1.36,0.08151,0.078
1.38,0.08042,0.07988
1.4,0.07932,0.08178
1.42,0.07821,0.08368
1.44,0.07708,0.0856
1.46,0.07593,0.08753
1.48,0.07477,0.08947
1.5,0.0736,0.09141
1.52,0.07241,0.09336
1.54,0.07122,0.09531
1.56,0.07001,0.09727
1.58,0.0688,0.09922
1.6,0.06758,0.10117
1.62,0.06635,0.10312
1.64,0.06512,0.10506
1.66,0.06388,0.10699
1.68,0.06265,0.10891
1.7,0.06141,0.11082
1.72,0.06016,0.11262
1.74,0.05893,0.11418
1.76,0.0577,0.11558
1.78,0.05647,0.11685
1.8,0.05526,0.11796
1.82,0.05407,0.11895
1.84,0.05289,0.11987
1.86,0.05175,0.12076
1.88,0.05065,0.12159
1.9,0.04956,0.1224
1.92,0.04848,0.1232
1.94,0.04743,0.12397
1.96,0.04639,0.12473
1.98,0.04536,0.12542
2.0,0.04436,0.12607
2.02,0.04337,0.12668
2.04,0.0424,0.12728
2.06,0.04145,0.12786
2.08,0.04051,0.12841
2.1,0.03959,0.12893
2.12,0.03869,0.12944
2.14,0.03781,0.12993
2.16,0.03694,0.13042
2.18,0.0361,0.13088
2.2,0.03526,0.13131
2.22,0.03445,0.13171
2.24,0.03365,0.13209
2.26,0.03287,0.13246
2.28,0.0321,0.13281
2.3,0.03135,0.13315
2.32,0.03061,0.13349
2.34,0.02989,0.13381
2.36,0.02919,0.13412
2.38,0.0285,0.13441
2.4,0.02783,0.1347
2.42,0.02717,0.13496
2.44,0.02652,0.13522
2.46,0.02589,0.13545
2.48,0.02527,0.13568
2.5,0.02467,0.13589
2.52,0.02408,0.13609
2.54,0.02353,0.13629
2.56,0.02304,0.13647
2.58,0.02258,0.13664
2.6,0.02213,0.13679
2.62,0.02169,0.13694
2.64,0.02129,0.13707
2.66,0.02089,0.1372
2.68,0.02051,0.13731
2.7,0.02014,0.13742
2.72,0.01978,0.13752
2.74,0.01944,0.13761
2.76,0.0191,0.13769
2.78,0.01878,0.13777
2.8,0.01847,0.13783
2.82,0.01817,0.13789
2.84,0.01788,0.13795
2.86,0.01759,0.13799
2.88,0.01731,0.13804
2.9,0.01704,0.13807
2.92,0.01677,0.13811
2.94,0.01651,0.13813
2.96,0.01625,0.13815
2.98,0.01601,0.13817
3.0,0.01577,0.13818
3.02,0.01554,0.13818
3.04,0.01533,0.13817
3.06,0.01511,0.13817
3.08,0.0149,0.13815
3.1,0.01469,0.13813
3.12,0.01449,0.1381
3.14,0.01428,0.13807
3.16,0.01409,0.13804
3.18,0.0139,0.138
3.2,0.01371,0.13795
3.22,0.01353,0.1379
3.24,0.01334,0.13785
3.26,0.01317,0.13779
3.28,0.013,0.13773
3.3,0.01283,0.13767
3.32,0.01266,0.1376
3.34,0.0125,0.13753
3.36,0.01234,0.13746
3.38,0.01219,0.13738
3.4,0.01205,0.1373
3.42,0.0119,0.13721
3.44,0.01176,0.13713
3.46,0.01162,0.13703
3.48,0.01148,0.13694
3.5,0.01135,0.13684
3.52,0.01122,0.13674
3.54,0.01109,0.13664
3.56,0.01096,0.13654
3.58,0.01084,0.13643
3.6,0.01071,0.13632
3.62,0.01059,0.13621
3.64,0.01047,0.1361
3.66,0.01035,0.13599
3.68,0.01023,0.13587
3.7,0.01012,0.13575
3.72,0.01001,0.13562
3.74,0.00991,0.1355
3.76,0.0098,0.13537
3.78,0.0097,0.13524
3.8,0.0096,0.13511
3.82,0.0095,0.13498
3.84,0.0094,0.13484
3.86,0.0093,0.13471
3.88,0.0092,0.13457
3.9,0.00911,0.13443
3.92,0.00901,0.13428
3.94,0.00892,0.13414
3.96,0.00883,0.13399
3.98,0.00874,0.13384
4.0,0.00865,0.13369
4.02,0.00856,0.13354
4.04,0.00848,0.13339
4.06,0.00839,0.13323
4.08,0.00831,0.13308
4.1,0.00823,0.13292
4.12,0.00815,0.13276
4.14,0.00807,0.1326
4.16,0.008,0.13244
4.18,0.00793,0.13228
4.2,0.00786,0.13211
4.22,0.0078,0.13195
4.24,0.00773,0.13178
4.26,0.00767,0.13161
4.28,0.00761,0.13144
4.3,0.00754,0.13127
4.32,0.00748,0.1311
4.34,0.00742,0.13092
4.36,0.00736,0.13075
4.38,0.0073,0.13057
4.4,0.00724,0.13039
4.42,0.00719,0.13021
4.44,0.00713,0.13003
